city,shape,latitude,longitude,date,province,duration,disp_lat,disp_long
Courtenay,Formation,49.683333,-125,2002-02-25,BC,60,49.68989072827565,-125.00638856243341
Kingston,Fireball,44.233333,-76.483333,2004-02-25,ON,15,44.19752470487673,-76.45619516314885
Westlock,Unknown,54.15,-113.866667,2007-02-25,AB,1800,54.11680534150452,-113.83366675376952
Calgary,Disk/Circle,51.083333,-114.083333,2007-02-25,AB,600,51.111248716953575,-114.09323227703513
St. Andrews,Other,47.783333,-59.233333,1998-02-26,ON,1200,47.8055286221573,-59.20970395613408
Kingston,Light,44.233333,-76.483333,2004-02-26,ON,300,44.272741432133486,-76.49449393061863
Winnipeg,Disk/Circle,49.883333,-97.166667,2009-02-26,MB,5,49.84570170771275,-97.205588700865
Gillam,Square/Rectangular,56.35,-94.7,2011-02-26,MB,900,56.34287596970797,-94.68616144280882
Stanmore,Spherical,51.583333,-111.516667,1997-02-27,AB,15,51.61590314909759,-111.4812337774603
Houston,Light,54.4,-126.65,2003-02-27,BC,7,54.4003697902523,-126.61763631466779
Huntsville,Light,45.333333,-79.216667,2004-02-27,ON,35,45.35919189821872,-79.2318691360956
Decker Lake,Disk/Circle,54.283333,-125.833333,2004-02-27,BC,600,54.29674957154262,-125.87259894091575
Terrace,Unknown,54.5,-128.583333,2006-02-27,BC,30,54.509402745086696,-128.60201662082167
Edmonton,Cylindrical,53.55,-113.5,2006-02-27,AB,360,53.53143409034237,-113.4826824392751
Surrey,Disk/Circle,49.136353351,-122.821343315,2009-02-27,BC,300,49.1393833758973,-122.80852194214083
Kamloops,Disk/Circle,50.666667,-120.333333,2014-02-27,BC,3600,50.63201569018943,-120.31326158126761
Yellowknife,Disk/Circle,62.45,-114.35,1999-02-28,NT,1200,62.464031745959076,-114.32464967271315
Victoria,Disk/Circle,46.216667,-63.483333,2002-02-28,BC,60,46.20220822762755,-63.450101559832156
St. Albert,Spherical,53.633333,-113.633333,2004-02-28,AB,900,53.60974854232687,-113.62243196189347
Windsor,Triangular,45.583333,-72,2000-02-29,ON,180,45.60716867817509,-71.96753378517928
Mission,Light,49.133333,-122.3,2004-02-29,BC,600,49.10244696088079,-122.28016638463365
Clinton,Disk/Circle,43.6,-81.533333,1993-02-03,ON,900,43.639213925600046,-81.53804972372892
Houston,Disk/Circle,54.4,-126.65,2003-02-03,BC,40,54.38010470090434,-126.62894218910488
Houston,Triangular,54.4,-126.65,2003-02-03,BC,2,54.42204513762146,-126.67362056562675
Houston,Other,54.4,-126.65,2004-02-03,BC,240,54.41685490107163,-126.61068890275438
Vancouver,Other,49.25,-123.133333,2001-02-04,BC,10,49.26865189189091,-123.09580610161593
Victoria,Cylindrical,46.216667,-63.483333,2003-02-04,BC,120,46.19102867888344,-63.51452211456314
Toronto,Other,43.666667,-79.416667,2004-02-04,ON,30,43.69654052231517,-79.41795049367529
Saint John,Light,45.266667,-66.066667,2011-02-04,NB,600,45.281985712554864,-66.10265919545718
Split Lake,Disk/Circle,56.25,-96.1,2004-02-05,MB,120,56.22782018981874,-96.12742287464437
Whitehorse,Fireball,60.716667,-135.05,2005-02-05,YT,360,60.74225684206989,-135.0760400773026
Whitehorse,Light,60.716667,-135.05,2005-02-05,YT,900,60.727261691168515,-135.08486722297965
Winnipeg,Fireball,49.883333,-97.166667,2012-02-05,MB,60,49.86494702966827,-97.17088874885869
Black Creek,Light,52.3,-121.116667,2000-02-06,BC,3600,52.27163612283766,-121.07775404077084
Dunnville,Disk/Circle,42.9,-79.616667,2013-02-06,ON,2,42.93744930407031,-79.6532128313003
Chilliwack,Unknown,49.166667,-121.95,2014-02-06,BC,3600,49.15937837669682,-121.91187612004582
Kelowna,Unknown,49.9,-119.483333,2004-02-07,BC,30,49.860740194059915,-119.49764831008332
Iroquois Falls,Spherical,48.766667,-80.666667,2008-02-07,ON,15,48.77304105408546,-80.68703685097452
Cando,Cylindrical,52.366667,-108.216667,2010-02-07,SK,120,52.347756840475476,-108.22490956094173
Victoria,Triangular,46.216667,-63.483333,2013-02-07,BC,60,46.17939226172922,-63.48637096237334
Sarnia,Triangular,42.966667,-82.4,2014-02-07,ON,120,42.95079223934618,-82.36712524641308
Guelph,Triangular,43.55,-80.25,1999-02-08,ON,30,43.529369903095066,-80.23263642517851
Atikokan,Disk/Circle,48.75,-91.616667,2008-02-08,ON,600,48.71695615826175,-91.62385793266874
Kitscoty,Other,53.333333,-110.333333,2011-02-08,AB,1500,53.31075284855385,-110.31878669097964
New Hazelton,Disk/Circle,55.25,-127.583333,2003-02-09,BC,10,55.22738627418876,-127.5527404184634
Calgary,Spherical,51.083333,-114.083333,2004-02-09,AB,1800,51.09623572027254,-114.11952293299078
Grimsby,Other,43.2,-79.55,2007-02-09,ON,60,43.16050513837487,-79.57931400096041
Westbank,Formation,49.84,-119.61,2008-02-09,BC,5,49.8789996914938,-119.64691040182483
Penticton,Spherical,49.5,-119.583333,2009-02-09,BC,1800,49.52058476042002,-119.57910917863194
Cardinal,Cylindrical,44.783333,-75.366667,2005-03-10,ON,15,44.82069223996194,-75.37083839988392
Oak Bay,Light,48.05,-66.616667,2013-03-10,NB,2,48.025250441208485,-66.62459206610974
Oak Bay,Light,48.05,-66.616667,2013-03-10,NB,2,48.062193602584294,-66.59594486603572
Fort Erie,Triangular,42.9,-78.933333,2001-03-11,ON,5,42.87952051408589,-78.95112257489876
Whitby,Fireball,43.866667,-78.933333,2002-03-11,ON,20,43.90604321023505,-78.90159055465779
Shabaqua,Fireball,48.583333,-89.9,2003-03-11,ON,3,48.591270263920904,-89.92556873084976
Nanaimo,Light,49.15,-123.916667,2005-03-11,BC,40,49.147806112337854,-123.89639596212714
Toronto,Fireball,43.666667,-79.416667,2007-03-11,ON,6,43.65254335386735,-79.44258487543146
Milton,Light,46.3,-63.216667,2007-03-11,ON,1200,46.29279857546091,-63.25466473309376
Scarborough,Fireball,43.75,-79.2,2007-03-11,ON,5,43.7168117184192,-79.22113799937068
Red Deer,Spherical,52.266667,-113.8,2007-03-11,AB,3600,52.24819790041131,-113.82064639195798
Taber,Other,49.783333,-112.15,2009-03-11,AB,15,49.76134646989349,-112.11309782950211
Welland,Light,42.983333,-79.25,1991-03-01,ON,180,42.955082294176705,-79.22606129923838
Whitewood,Cylindrical,50.333333,-102.25,1992-03-01,SK,18000,50.35262417392749,-102.28747848112133
Calgary,Triangular,51.083333,-114.083333,2005-03-01,AB,7200,51.10279372328836,-114.05161355772933
St. John's,Light,47.55,-52.666667,2006-03-01,NF,5400,47.511982765011496,-52.68340514168198
Windsor,Spherical,45.583333,-72,2009-03-01,NS,360,45.605470506809084,-71.98014833234252
Vernon,Formation,46.183333,-62.883333,2013-03-01,BC,300,46.16119102651197,-62.91978592770114
La Ronge,Disk/Circle,55.1,-105.3,2013-03-02,SK,60,55.10181207723916,-105.27208529612052
Thunder Bay,Disk/Circle,48.4,-89.233333,2001-03-12,ON,15,48.38705052955076,-89.25846539352031
Decker Lake,Unknown,54.283333,-125.833333,2004-03-12,BC,600,54.31725999047922,-125.82129925794844
Campbell River,Fireball,50.016667,-125.25,2005-03-12,BC,1,49.97882125916016,-125.25243275461719
Victoria,Fireball,46.216667,-63.483333,2005-03-12,BC,10,46.23726697709468,-63.518989489990624
Victoria,Disk/Circle,46.216667,-63.483333,2005-03-12,BC,5,46.177151961569315,-63.451829900070486
Vancouver,Light,49.25,-123.133333,2006-03-12,BC,30,49.28545466842129,-123.11905108027103
Ottawa,Light,45.416667,-75.7,1997-03-13,ON,7,45.392882236652646,-75.6931649862975
Niagara Falls,Fireball,43.1,-79.05,1999-03-13,ON,60,43.09508788734675,-79.06682398771865
Ladysmith,Disk/Circle,48.983333,-123.816667,2001-03-13,BC,30,49.01530215162727,-123.81808844927754
Lac Du Bonnet,Spherical,50.266667,-96.05,2002-03-13,MB,1800,50.255809035786065,-96.01640816269445
Wishart,Disk/Circle,51.55,-103.966667,2004-03-13,SK,3600,51.52287649607286,-103.9663806623785
Whitby,Triangular,43.866667,-78.933333,2007-03-13,ON,60,43.846399001442464,-78.90101507641322
Armstrong,Light,50.3,-89.033333,2008-03-13,BC,30,50.305536310579626,-89.03289824981185
Toronto,Other,43.666667,-79.416667,2008-03-13,ON,2400,43.64789297469017,-79.41974298209009
Burlington,Triangular,43.316667,-79.8,2012-03-13,ON,30,43.30239091051799,-79.83764604113992
Coquitlam,Light,49.266667,-122.783333,2005-03-14,BC,5,49.26195650549662,-122.75690080031698
Hamilton,Disk/Circle,43.25,-79.833333,2006-03-14,ON,300,43.2657757923752,-79.80422115074417
South Porcupine,Disk/Circle,48.466667,-81.2,2012-03-14,ON,1200,48.45536057366115,-81.19768741752952
Espanola,Cylindrical,46.25,-81.766667,1951-03-15,ON,15,46.23738140733913,-81.76970080519152
Castlegar,Light,49.316667,-117.666667,1970-03-15,BC,180,49.324520390928356,-117.63956928746835
Thunder Bay,Unknown,48.4,-89.233333,1979-03-15,ON,300,48.41547803860157,-89.19554771222121
Belmont,Spherical,45.416667,-63.383333,2000-03-15,ON,600,45.40526546889973,-63.357091536428236
Edmonton,Triangular,53.55,-113.5,2003-03-15,AB,5,53.57471472172066,-113.51856600511817
Calgary,Formation,51.083333,-114.083333,2004-03-15,AB,120,51.083094345032606,-114.04544716998882
Montreal,Spherical,45.5,-73.583333,2007-03-15,QC,20,45.51399668063968,-73.5934902050899
Etobicoke,Disk/Circle,43.7,-79.566667,2007-03-15,ON,60,43.67221387995408,-79.55558578945754
Toronto,Triangular,43.666667,-79.416667,2009-03-15,NA,60,43.63354923782927,-79.45034641314352
North Bay,Fireball,46.3,-79.45,2013-03-15,ON,20,46.279968880619855,-79.48006249532101
Cobble Hill,Light,48.683333,-123.6,2014-03-15,BC,120,48.681308702416146,-123.58718520449474
Calgary,Disk/Circle,51.083333,-114.083333,2007-03-16,AB,180,51.0881352431694,-114.07160871220697
Vernon,Unknown,46.183333,-62.883333,2007-03-16,BC,60,46.15126796275321,-62.90349900998117
Oshawa,Disk/Circle,43.9,-78.866667,2013-03-16,ON,300,43.87103244194761,-78.87402876991835
Calgary,Triangular,51.083333,-114.083333,1997-03-17,AB,180,51.113766430019766,-114.08216822486314
Peterborough,Spherical,44.3,-78.333333,2006-03-17,ON,300,44.324848142676046,-78.35444435853452
Airdrie,Formation,51.266667,-114.016667,2011-03-17,AB,10,51.23905078692419,-113.98509481342569
Sydney,Fireball,46.15,-60.166667,2013-03-17,NS,40,46.15239200610667,-60.13364211557492
Oshawa,Light,43.9,-78.866667,2003-03-18,ON,40,43.86673502905295,-78.89729556111674
Oshawa,Light,43.9,-78.866667,2003-03-18,ON,40,43.91172483168542,-78.89697935223634
Toronto,Disk/Circle,43.666667,-79.416667,2014-03-18,ON,900,43.684002840277365,-79.39102520639136
Brampton,Triangular,43.683333,-79.766667,2014-03-18,ON,5,43.65296811792943,-79.76738163480591
Cambridge,Square/Rectangular,43.383333,-80.316667,2001-03-19,ON,300,43.41162438766974,-80.3055032188451
Brampton,Disk/Circle,43.683333,-79.766667,2004-03-19,ON,40,43.720511152967234,-79.73527699537634
Coquitlam,Other,49.266667,-122.783333,2004-03-19,BC,5,49.246817266084825,-122.80958807855785
Victoria,Cylindrical,46.216667,-63.483333,2004-03-19,BC,3,46.23977071773317,-63.45231950476712
Winnipeg,Other,49.883333,-97.166667,2011-03-19,MB,14400,49.893624202683,-97.18390369553174
Regina,Triangular,50.45,-104.616667,2014-03-19,SK,15,50.41255496690051,-104.64299750465955
Minnedosa,Disk/Circle,50.25,-99.833333,2004-03-20,MB,60,50.21804685104639,-99.85382201824278
Jasper,Disk/Circle,52.883333,-118.083333,2005-03-20,AB,300,52.884553181565735,-118.0706932513224
Montreal,Other,45.5,-73.583333,2012-03-20,QC,120,45.467311230804775,-73.56591285200734
Bradford,Disk/Circle,44.116667,-79.566667,2012-03-20,ON,420,44.15554001057576,-79.58715443560908
Montreal,Disk/Circle,45.5,-73.583333,2013-03-20,QC,300,45.477793408408765,-73.60955444293037
Montreal,Spherical,45.5,-73.583333,2000-03-21,PQ,5400,45.50961657751351,-73.55051643159186
Coquitlam,Disk/Circle,49.266667,-122.783333,2002-03-21,BC,300,49.23829816350771,-122.81736513862326
Ottawa,Fireball,45.416667,-75.7,2004-03-21,ON,3,45.45150610877256,-75.70515238692984
Ottawa,Fireball,45.416667,-75.7,2004-03-21,ON,3,45.39203077443001,-75.73750255869699
Onion Lake,Fireball,53.716667,-110,2004-03-21,SK,2,53.69854217764047,-110.00512438731268
Surrey,Light,49.136353351,-122.821343315,2009-03-02,BC,2,49.172796678143776,-122.79293828094222
Montreal,Unknown,45.5,-73.583333,2014-03-02,QC,3600,45.46885946176947,-73.56334180545007
Ottawa,Disk/Circle,45.416667,-75.7,2014-03-02,ON,600,45.38856623545346,-75.72196352561934
Hamilton,Other,43.25,-79.833333,2002-03-22,ON,300,43.21075195671991,-79.83582086548152
Burnaby,Unknown,49.25,-122.95,2006-03-22,BC,2,49.2830009192042,-122.95666252819821
Richmond Hill,Disk/Circle,43.866667,-79.433333,2007-03-22,ON,25,43.83886338165087,-79.4358720005298
Nanoose Bay,Other,49.25,-124.183333,1997-03-23,BC,180,49.25638878811151,-124.14537948654912
Terrace,Light,54.5,-128.583333,2003-03-23,BC,9,54.50964556617662,-128.57997631518114
Toronto,Cylindrical,43.666667,-79.416667,2008-03-23,ON,240,43.655637544952896,-79.39602943360865
Cranbrook,Triangular,49.516667,-115.766667,2011-03-23,BC,45,49.49298163581697,-115.75951393211318
Ottawa,Light,45.416667,-75.7,2013-03-23,ON,1,45.43917597947698,-75.66593711307276
Halifax,Light,44.65,-63.6,2006-03-24,NS,600,44.650267899744215,-63.632438121754646
Windsor,Other,45.583333,-72,2011-03-24,ON,60,45.57837642162982,-72.01792999500407
Burnaby,Cylindrical,49.25,-122.95,2001-03-25,BC,20,49.23204366397113,-122.97595503315327
Kingston,Fireball,44.233333,-76.483333,2001-03-25,ON,30,44.266318895387826,-76.50084527248458
Coquitlam,Triangular,49.266667,-122.783333,2003-03-25,BC,4,49.25509867066574,-122.8103415128769
Toronto,Spherical,43.666667,-79.416667,2004-03-25,ON,120,43.693937385343574,-79.40335255282058
Trail,Disk/Circle,49.1,-117.716667,2004-03-25,BC,180,49.12574009573087,-117.71953302279171
Kingston,Other,44.233333,-76.483333,2007-03-25,ON,30,44.22989259935859,-76.48533763850051
Regina,Square/Rectangular,50.45,-104.616667,2012-03-25,SK,5,50.43215870317072,-104.63099189586994
Halifax,Disk/Circle,44.65,-63.6,2014-03-25,NS,1800,44.64271278653294,-63.60468397481367
Lethbridge,Spherical,48.366667,-53.866667,2004-03-26,AB,510,48.36760082962048,-53.903741794881014
Windsor,Disk/Circle,45.583333,-72,2005-03-26,ON,300,45.60131129756513,-72.0128230197355
West Hawk Lake,Disk/Circle,49.8,-93.983333,1977-03-27,MB,7,49.774720985125754,-93.99863276718126
Montreal,Fireball,45.5,-73.583333,2001-03-27,PQ,1,45.52182027142494,-73.5863129012281
Newmarket,Triangular,44.05,-79.45,2002-03-27,ON,180,44.05566235626116,-79.46339256165548
Winnipeg,Light,49.883333,-97.166667,2002-03-27,MB,45,49.884103937297496,-97.1361221187754
Rigaud,Light,45.466667,-74.3,2004-03-27,QC,14400,45.43460116744099,-74.28543364150451
Montreal,Other,45.5,-73.583333,2004-03-27,QC,20,45.481357146594675,-73.58075981685835
Brampton,Disk/Circle,43.683333,-79.766667,2005-03-27,ON,12,43.649195791053955,-79.74791631041153
Brampton,Light,43.683333,-79.766667,2005-03-27,ON,15,43.70806657478156,-79.7720274886867
Selkirk,Unknown,62.766667,-137.383333,2012-03-27,MB,10,62.76948849724662,-137.3730775723042
Port Moody,Other,49.283333,-122.85,2013-03-27,BC,10,49.26467954246271,-122.88280131325122
Maple Ridge,Unknown,49.25,-122.5,2013-03-27,BC,240,49.220201656818396,-122.46192396733913
Fort Erie,Fireball,42.9,-78.933333,2014-03-27,ON,600,42.891512728445235,-78.93277779297847
Prince George,Light,53.916667,-122.766667,2004-03-28,BC,40,53.92153788557332,-122.75781557770503
Barrie,Unknown,44.383333,-79.7,2008-03-28,ON,30,44.3895195815334,-79.67913861583921
Cornwall,Disk/Circle,46.24,-63.21,2003-03-29,ON,300,46.21737143216655,-63.211389445643874
Halifax,Other,44.65,-63.6,2003-03-29,NS,600,44.645297775845975,-63.622836526017615
Vernon,Other,46.183333,-62.883333,2004-03-29,BC,300,46.194129387586734,-62.872211674395395
Ottawa,Light,45.416667,-75.7,2004-03-29,ON,180,45.39234348658529,-75.73426161471751
Ottawa,Light,45.416667,-75.7,2004-03-29,ON,180,45.379908142090414,-75.72979619024319
Edmonton,Formation,53.55,-113.5,2004-03-29,AB,3,53.547432518824934,-113.49712885962799
Nanton,Light,50.35,-113.766667,2004-03-29,AB,600,50.35466958163306,-113.7519581373973
Brockville,Disk/Circle,44.583333,-75.683333,2006-03-29,ON,10,44.612832812908465,-75.64490275125898
Yamachiche,Triangular,46.283333,-72.833333,2006-03-29,QC,60,46.26295092454124,-72.85042905954586
London,Light,42.983333,-81.25,2008-03-29,ON,5,43.008906072675614,-81.27039098346604
Calgary,Light,51.083333,-114.083333,2010-03-29,AB,10,51.07487309651393,-114.09417872270511
Toronto,Light,43.666667,-79.416667,2011-03-29,ON,8,43.70062057143133,-79.45120067989508
Halifax,Light,44.65,-63.6,2011-03-29,NS,110,44.64704212352633,-63.60752923021092
Terrebonne,Cylindrical,45.683333,-73.633333,2004-03-30,QC,20,45.67725833557489,-73.66906799018322
Port Coquitlam,Triangular,49.266667,-122.783333,1997-03-31,BC,180,49.28140374776032,-122.76405970748459
Caledonia,Disk/Circle,43.066667,-79.95,2009-03-31,ON,600,43.0617160391627,-79.96801219094543
Laval,Spherical,45.6,-73.733333,2014-03-31,QC,6,45.6047127651982,-73.712608688082
Waterdown,Light,43.333333,-79.883333,2001-03-03,ON,480,43.30464659469146,-79.92066894851564
Houston,Other,54.4,-126.65,2003-03-03,BC,120,54.41447464337572,-126.63915112096818
Scarborough,Other,43.75,-79.2,2003-03-03,ON,1500,43.7370932899788,-79.21080209517851
St. John,Formation,45.266667,-66.066667,2012-03-03,NB,600,45.30565142532866,-66.04081720868184
Winnipeg,Other,49.883333,-97.166667,2012-03-03,MB,300,49.85039163196404,-97.14961892552732
Edmonton,Other,53.55,-113.5,2004-03-04,AB,5,53.52129160065204,-113.49777176083997
Halfmoon Bay,Unknown,49.516667,-123.916667,2005-03-04,BC,900,49.533559107408486,-123.9073632073967
Montreal,Square/Rectangular,45.5,-73.583333,2005-03-04,QC,180,45.462227063737814,-73.55977970173528
